Column1;Column2;Column3
tokens_stemmed;label_lexicon;label_prediksi
tani milenial merauke raup dapat juta;positif;positif
kunjung tan marauke tumbuh semangat tani muda milenial tan;positif;negatif
petrokimia gresik pahlawan super tani tuju paham butuh tani bawang putih karyawan milenial gali aspirasi kampanye pupu imbang lanjut;negatif;negatif
tri didik kena efisiensi ngaco dpr polisi tni efisiensi oh iya alat gebuk masyarakat tetep iya gais;negatif;positif
outdoorstage indoorstage oke adu gagas debat solusi oke anak milenial genz manula difabel emak tani nelayan anak sekolah mhsw nakes kalang perhati religius santun nomor korupsi pancasila uud pilih;positif;negatif
sobatani ratus tani muda gabung konsolidasi nasional duta tani milenialduta tani andal barubaru nobat wakil menteri tani bina tani milenial;positif;positif
daftar tani milenial harap nambah wawas tahu relasi daftar program yess susah buka websitenya;negatif;negatif
tani milenial raup cuan rp juta jelas tan;positif;positif
sejahtera tani indonesia capai otomatis regenerasi tani selesai kaum generasi muda betapa cerah karir sektor tani generasi muda kaum milenial bondong terjun dunia tani;negatif;negatif
aduh blitar kecil gerak anak muda tani milenial eh si opung impor tani aduh opung istirahat kerja sifat visioner;negatif;negatif
tax planning orang indo mah lihat jepang kurang pajak gara beli beras tani cianjur langsung detilnya;negatif;negatif
cba ajar pikir kritis sebab inflasi oh sebab presiden pucuk kuasa tinggi solusi cipta tani milenial;positif;positif
kolaborasi tan kemnaker tingkat kualitas tani milenial tani modern;positif;positif
milenial petrokimia gresik cari solusi masalahmasalah pengaruh produktivitas sejahtera tani;positif;positif
iseng daftar tani milenial pas milih latih pilih yaa serius si;negatif;negatif
tani milenial zaman digital simak ulas lengkap tabloid kontan edisi maret;positif;positif
mantap tani milenial gaji juta daftar;positif;positif
tips optimalisasi marketplace tani milenial ejsc malang;negatif;positif
hadir karyawan milenial petrokimia gresik tuju paham butuh tani bawang putih cari solusi pengaruh produktivitas sejahtera tani;negatif;negatif
kerja tani milenial tan pura pura impor;positif;positif
karyawan milenial petrokimia gresik hadir tani gali aspirasi kampanye pupu imbang komitmen cipta tani lanjut;positif;positif
tani muda milenial mati terjun budidaya kopi tanam organikhidroponik terna tinggi kambingdomba kelinci komunitas forum nama maf millenial agriculture forum;negatif;negatif
semangat tani milenial maju tani indonesia wujud swasembada pangan jadi indonesia lumbung pangan dunia;positif;positif
tanam kebun kelapa durian alpukat mangga lengkeng butuh anggar rp miliar kait teknis papar langsung lokasi;negatif;negatif
sinergi polda diy dpkp tani milenial wujud tahan swasembada pangan;positif;positif
urus member jakarta serah ci shani melody duta tani milenial wkwkkwkwkw;negatif;positif
tani milenial mumpuni dukung mekanik kemnaker;positif;positif
tani milenial tampil percaya teknologi modern berkat program unggul tan kemnaker;positif;positif
tani ternak milenial kudus hasil janji fraksi gerindra upaya;positif;positif
sobatani tan amran bangga tuntas optimasi lahan tertawa merauke papua selatanmentan amran optimis jadi wilayah laboratorium raksasa tani indonesia amp tekan kuat lembaga tani milenial;positif;positif
rangkul milenial tani tan alsintan modern;positif;positif
temu harga lapang timbang bisnis petrokimia gresik solusi dampak positif produktivitas sejahtera tani libat karyawan milenial kuat posisi usaha;positif;positif
wujud nyata program tani milenial latih generasi muda fokus bidang tani;positif;positif
wakil menteri tani wamentan sudaryono kuat kolaborasi utus khusus presiden bidang bina generasi muda laku seni raffi ahmad dorong regenerasi tani milenial;negatif;negatif
